Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"D68","D_Small","D_SOD-123",-46.000000,-127.300000,180.000000,bottom
"D69","D_Small","D_SOD-123",-59.175000,-117.275000,-90.000000,bottom
"D70","D_Small","D_SOD-123",-80.606250,-117.275000,-90.000000,bottom
"D71","D_Small","D_SOD-123",-152.043750,-117.275000,-90.000000,bottom
"D72","D_Small","D_SOD-123",-223.481250,-117.275000,-90.000000,bottom
"D73","D_Small","D_SOD-123",-249.675000,-117.275000,-90.000000,bottom
"D74","D_Small","D_SOD-123",-268.725000,-117.275000,-90.000000,bottom
"D75","D_Small","D_SOD-123",-293.500000,-127.400000,180.000000,bottom
"D76","5819W","D_SOD-123",-49.000000,-29.900000,0.000000,bottom
"D77","Power LED (Blue)","LED_0805_2012Metric",-58.550000,-88.500000,180.000000,bottom
"D78","5819W","D_SOD-123",-63.000000,-56.000000,0.000000,bottom
"F1","TLC_PSMD050","Fuse_0805_2012Metric",-49.400000,-32.000000,0.000000,bottom
"FB1","100@100MHz","L_0805_2012Metric",-61.712500,-92.725000,-90.000000,bottom
"R1","27 ohm","R_0603_1608Metric",-46.250000,-81.050000,90.000000,bottom
"R2","27 ohm","R_0603_1608Metric",-44.650000,-81.050000,90.000000,bottom
"R3","1k ohm","R_0603_1608Metric",-47.725000,-102.175000,90.000000,bottom
"R4","10k ohm","R_0603_1608Metric",-52.600000,-78.100000,0.000000,bottom
"R5","1k ohm","R_0603_1608Metric",-52.600000,-76.600000,180.000000,bottom
"R6","5.1k","R_0603_1608Metric",-47.400000,-26.900000,-90.000000,bottom
"R7","5.1k","R_0603_1608Metric",-40.600000,-26.600000,180.000000,bottom
"R8","10k ohm","R_0603_1608Metric",-25.600000,-94.200000,90.000000,bottom
"R9","1k ohm","R_0603_1608Metric",-57.625000,-90.975000,90.000000,bottom
"U1","RP2040","rp2040",-47.375000,-90.825000,180.000000,bottom
"U2","TYPE-C-31-M-12","simple-usb-c",-45.243750,-19.793750,0.000000,bottom
"U3","XC6206PxxxMR","SOT-23",-58.775000,-94.300000,0.000000,bottom
"U4","W25Q16JVUXIQ","w25q16jvuxiq",-51.300000,-83.587567,180.000000,bottom
"U5","USB Boot","tactile-switch",-54.900000,-73.000000,180.000000,bottom
"U6","Reset","tactile-switch",-27.475000,-105.125000,90.000000,bottom
"Y1","12MHz - 20pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",-50.200000,-102.600000,-90.000000,bottom
